#Application,URL,SHA
biopython,https://github.com/biopython/biopython,f12c9ad2b0acac6a3e17854b5cd3099e9051c78d
buildbot,https://github.com/buildbot/buildbot,862b483787909844af93d032c72b98fa3a2de4f1
calibre,https://github.com/kovidgoyal/calibre,fd46312fccd34fffd1f16dc36758c0afcb542e00
cherrypy,https://github.com/cherrypy/cherrypy,17fa57a08ef9afb446e76d7c2881a0dfbd54aa9e
django,https://github.com/django/django,bd0897baa76562f5ee7b5b620eda082f65f46fbd
exaile,https://github.com/exaile/exaile,72669a4ea065d4f5774eca691fcaf65934247f80
gramps,https://github.com/gramps-project/gramps,3295364aa2d3833a7b71546a28e48471eda56be4
ipython,https://github.com/ipython/ipython,bde9cf791a4f3f7608fd9a273891d16278da4062
mailman,https://github.com/terencehonles/mailman,5b4bb22feca4d520afef44d1c472807e020d17b5
matplotlib,https://github.com/matplotlib/matplotlib,2aa668318549be2194c8bdb3597a550b5a2bd2c0
miro,https://github.com/pculture/miro,684fe89ad867f5175bc99333246d16f055d6b4e3
networkx,https://github.com/networkx/networkx,64cd60fb831ffcd09ccc1ed91150eb3a801faddb
numpy,https://github.com/numpy/numpy,1b629358028111f9b08433d0bf906bbd0cdc0f02
portage,https://github.com/gentoo/portage,613a06dfb343e5b5983947435e4dd7918fd0ef13
pygame,https://github.com/pygame/pygamefullmirror,a2c74489ab5639acaf72cea06fc185d6a4bc6f6d
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,d3e9468ad269b255a108a55cbb0cbb736c1ab848
quodlibet,https://github.com/quod-libet/quodlibet,d1a0a8ae22a4ad93c54df070c4e4a97453411f87
sabnzbd,https://github.com/sabnzbd/sabnzbd,14713e145354480588897787ca1f6fe90d7fb5b3
sage,https://github.com/sagemath/sage,8f2d7270e281209ede07c02d04d771e1fbefdb14
sympy,https://github.com/sympy/sympy,407bb111ead8dd4ab32977447db13d091a88d3e4
tg2,https://github.com/TurboGears/tg2,19bb1c9e08dc0f394d14ce852d435631a1085558
trac,https://github.com/edgewall/trac,51190011ab277d482a065973352e27dda22e4c44
tryton,https://github.com/tryton/tryton,31c5e1a4f0ea9f1b8d2b15dc5d02468f153c3d50
twisted,https://github.com/twisted/twisted,653e0560076b962edffa5c5df1b8dc83d92f1b73
veusz,https://github.com/jeremysanders/veusz,a120965d7ee587406c8990cf6b6bb83d89ce4531
VisTrails,https://github.com/VisTrails/VisTrails,7ec451033377d70a3b1f93bcc56aee1564061fd9
wxPython,https://github.com/wxWidgets/wxPython,2c19ac67c137ff7c86e56963f65cd4e7c193c680
Zope,https://github.com/zopefoundation/Zope,0113d5d0c21532dfcdd23396b71c7cd7302a8acd
